,닉네임,태그,별점,작성일,발색력,지속력,수분감,피부타입,리뷰
304,sl****,,4,2021.12.20,보통이에요,보통이에요,아주 촉촉해요,복합성에 좋아요,"피부에 두껍게 얹어지기 보다는 촉촉하고 얇게 발리는 제품을 사용하고 싶어서 구매하게 됐어요. 제품을 구매하기 전에 구매자 리뷰를 확인해봤는데, 촉촉하지만 커버력이 없다는 내용이 대부분이었는데 직접 사용해보니 커버력을 원하신다면 다른 제품을 구입하시는게 좋을 것 같아요. 평소 얇게 파데를 올리고 컨실러로 커버를 하시는 분들이라면 만족하실 수 있겠지만 파데만 사용해서 커버 + 피부결 정리를 하시는 분들이라면 제품 사용하실 때 아쉬움이 있으실 것 같아요.
저는 개인적으로 커버력보다는 촉촉함+광이 중요했는데 만족스럽게 잘 사용하고 있습니다. 내장된 퍼프로 파데를 피부에 얹었을 때 정말 촉촉하고 시원해서 수분이 채워지는 느낌이라서 좋아요. 또, 마스크 때문에 피부에 많이 바를수록 답답한데 촉촉하고 얇게 발려서 피부가 답답하지 않아요."
305,jjy1****,,5,2021.12.19,보통이에요,지속이 오래돼요,보통이에요,복합성에 좋아요,"- 피부표현이 마음에 듭니다. 

- 리뷰읽어보면 커버력 0에 가깝다는 말이 많은데

저는 이런 피부표현되는 것을 좋아해서 마음에 듭니다.

깐달걀처럼 표현이 되네요. 

- 마스크에 덜 묻어난다고 하는데

마스크에 묻어남은 다른 쿠션과 별로 다름을 못 느꼈습니다..

- 촉촉정도는 엄청~나다 라는 것은 느끼질 못했어요.

다 바르고 나면 적당히~ 촉촉하다 라고 느껴졌어요.

- 선크림 바르고 나서 쿠션바르면 밀림이 살짝 있더라고요. 

그래서 선크림 양을 줄이고 쿠션 써봤는데 밀림이 없었어요.

- 재구매 의사 있습니다."
306,dmswl****,,4,2021.12.18,보통이에요,보통이에요,보통이에요,건성에 좋아요,"과거에 매쉬쿠션에 실망했던 경험이있습니다
요즘 화장해도 지속이 어려워서 마스크에 덜 묻어난다는 리뷰를 보고 가격이 조금 걸리긴했지만 고민끝에 구매했어요
바를때는 피부톤이랑 비슷해서 그런지 발리는건가 싶었지만
다 바르고나니 피부 톤정리 정도는 되네요
커버력은 톤업쿠션정도로 생각하며될거같아요
1.5호 구매했는데 1호도 화사할거같아요
겨울이라 촉촉한 쿠션 찾았는데 다른 후기들 처럼 촉촉한거는 모르겠고 발랐을때 엄청 건호한건 없어요
지속력은 기대 안 했고 지저분하게만 안남았으면 좋겠다고 생각했는데 뭉게지면서 무너지긴 해요 다른 쿠션보다는 조금 덜해요 마스크를 벗을수없는 요즘 쓸만한거같아요
집에서만 쓸거라 상관없지만 케이스가 조금 무겁고 커요
케이스가 엄청 튼튼한거 같은데 리필상품이 나왔으면 좋겠어요!!"
307,sar****,,4,2021.12.16,보통이에요,보통이에요,보통이에요,복합성에 좋아요,겨울이라서 수분감이 있어서 오래도록 촉촉한 쿠션을 찾고 있었는데 마침 올리브영에 어뮤즈가 입점을 했고 어뮤즈 젤리쿠션이 세일을 하길래 구매해봤어요. 일단 겉모습은 되게 예쁘고 예쁜 상아색 쿠션이라서 들고다니기에도 너무 예쁘긴한데 갖고 있고 봤던 쿠션중에 젤 큰거 같아요. 그래서 들고 다니기에 휴대성은 썩 좋은 편은 아닌거 같아요. 그리고 제형은 아주 묽고 파운데이션을 생각하면 좀 실망하실 거 같고 색있는 톤업크림 정도라고 생각하시면 돼요. 그리고 너무 얇고 촉촉해서 수분감은 좋은데 아무래도 너무 촉촉해서 그런지 퍼프가 몇일 안썼는데 곰팡인지 색이 변해서 지금은 찝찝해서 못쓰고 있어요. 다른 문제일 수도 있겠지만 퍼프관리 잘 하셔야 할 것 같아요 제형은 진짜 젤리느낌이라서 신기했고 제가 쓰긴 무난했어요
308,rkdgusdk****,,5,2021.12.14,보통이에요,보통이에요,보통이에요,건성에 좋아요,커버력은 확실히! 없어요! 하지만 촉촉한 광이 꽤 예쁘구요 건강해보이는..그런 느낌???  촉촉한 것이 지성분들보다는 건성분들에게 잘 맞을 쿠션이구요 무거운 느낌보다 가볍게 바르고나가고싶다 하시는 분들은 한 번 사용해보셔도 괜찮으실 것 같아요! 잡티는 안 가려지는 것 같아요 컨실러 사용하시는 분들은 필수로 하셔야겠어욤 전체적으로 뭔가 생얼메이크업한 느낌!
309,jiu****,,5,2021.12.13,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"평소에 
나 건성이다, 피부에 잡티가 별로 없다, 간단한 피부 화장 좋아한다, 광나는 피부 좋아한다, 하시면 이 제품 사세요 후회없을거에요! ㅎㅎ 
전 피부가 하얀편이라 톤업이 드라마틱 하진 않지만 여러번 쌓아주면 밝아집니다. 커버도 마찬가지구요. 
다만 제가 건성이라 피부가 예민한 날은 좀 뜨는 경향이 있네요ㅠㅠ이 점 빼고는 촉촉하고 얇고 맑은 피부 표현이 정말 맘에 들어요"
310,kiro****,,5,2021.12.12,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"인생 쿠션 만났습니다~~
샤꺼 쓰다가 너무 금액적으로 부담되어서
그나마 조금 저렴하면서 수분감 좋은 루꺼 2년 쓰다가
마스크 쓰는데 묻어남이 너무 심해서 
이번제품으로 속는척 써봤는데
수분감 발림 너무너무너무 좋아요!!!!
제가 극건성이라 쿠션 쓸때 엄청 까다로운 편인데 매우 만족!!!!
커버력 크지 않아서 오히려 자연스러워서 좋구
마스크 묻어남이 신기하게 그닥 없었어요!!"
311,nare****,,5,2021.12.12,아주 만족해요,보통이에요,아주 촉촉해요,복합성에 좋아요,"커버가 엄청 잘되는 제품은 아니라 풀메할때보단 간단하게 쓰기 좋은거같아요~ 전 선크림만 바르기 애매할때 쿠션으로 톤보정해주는 정도로 사용하고있어요! 
리필없이 본품만 있어서 다른 쿠션대비 가격은 비싼거같아오"
312,alg****,,1,2021.12.10,다소 아쉬워요,예상보다 짧아요,매트해요,지성에 좋아요,쿠션을 샀는데 뚜껑이 안 닫히는 불량품… 제품을 써 보기도 전에 실망… 반품하기 귀찮아서 울며 겨자 먹기로 그냥 쓰려 합니다… 동영상 찍고 사진 찍고 이거 쓰는 시간도 아깝네요
313,kyur****,,4,2021.12.09,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,배송이 느리긴 했지만 제품 너무 촉촉하고 맘에 들어요! 순수 구매했는데 많이 밝긴 해요! 건성에 21호 밝은 피부 추천함다
314,jaeho****,,5,2021.12.04,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"저는 이 제품에 무척이나 만족합니다! 우선 케이스! 솔직히 케이스 뭐가 그렇게 중요하냐 하시는 분들도 계시겠지만 저같은 애들한텐 정말 중요해요...ㅋㅋㅋ 일단 어뮤즈는 케이스가 너무 예쁘고 투명하고 퍼프도 예뻐서 만족! 커버력 중요하게 생각하시는 분들은 우선 비추입니다 커버가 아예 안 되진 않지만 정말 약해요 ㅠㅠ 그냥 잡티 같은 게 비쳐 보이는 정도라서 원래 피부가 좋은 분들이라면 정말 강추! 그리고 극건성, 건성, 복합성인데 촉촉한 게 좋은 분들에게는 정말 강추해요 진짜 촉촉해요! 정말 코 옆에 끼는 것도 없고 제가 얼굴이 찢어지는 듯한 느낌이 들 정도로 건조할 때가 있는데 너무 좋더라구요 사무실에서도 전혀 건조함이 느껴지지 않아요 그리고 정말 신기했던 건 촉촉이 쿠션인데도 마스크에 크게 묻지 않는단 게 정말 너무 좋았습니다!"
315,soooy****,,5,2021.12.01,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"평소에 쿠션을 자주 쓰진 않아서 여태까지 입생로랑꺼랑 헤라꺼 아이오페꺼 세개 밖에 안 써봤는데 저는 헤라가 젤 잘 맞았어요.
근데 요즘 좀 질려서 뭐 다른거 없나 보고 있다가 유튜브로 비건 화장품에 대해서 찾아보는데 이게 신상으로 나왔다고 하더라구요. 그래서 네이버로 색상 표 다 찾아보고 제가 밝은 피부는 아니라서 1.5호로 구매했어요. 제가 수분부족형 지성이라 너무 기름져도 너무 건조해도 안되는 피부인데 딱 적당하게 촉촉해서 너무 저한테 잘 맞아요. 색상도 한톤정도 피부를 밝혀주는 느낌? 케이스는 말할것도 없구요 디자인이나 제품력 둘다 너무 마음에 드는 제품이네요! 근데 보통은 리필도 같이 묶어서 팔지 않나요? 그냥 본품만 덜렁 와서 저는 보통 한번에 많이 쟁여두면서 사는편인데 그건 좀 아쉽네요. 다 쓰면 또 사러올게요"
316,rubl****,,5,2021.11.29,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"스펀지가 아닌 망사(?)재질로 되어있는 건 처음보네요 
망재질이라 엄청 곱게 나와요 
진짜 엄청얇고 맑고 투명하게 발색이 됩니다 제가 써본 
물광쿠션중에 최고인듯 
이런 느낌을 좋아해서 앞으로 이것만 쓸듯 너무 이뻐요 :) 
잡티 커버력은 1도 없습니다"
317,girl****,,5,2021.11.16,보통이에요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"마스크때문에 촉촉한 제품은 많이 묻어난다 라고 생각을 하고 있었는데 이 쿠션은 그 편견을 없애주었어요 !! 묻어남이 
아예 없다고 하면 거짓말이지만 매트쿠션만큼이나 잘 안 묻어납니다 색상도 너무 밝지도 않고 어둡지도 않아서 저는 
17호정도인데 살짝 어두운감은 있지만 그래도 피부표현이 너무 예뻐서 잘 쓰고 있어요 그리고 젤리타입인 질감이라서 마스크에 더 안 묻어나도 밀착력이 우수하다고 합니다 다른 베이스는 딱히 사용 안하지만 커버력이 엄청난 편은 아니여서 컨실러로 살짝 커버해주고 밝은 컨실러로 눈 밑이나 밝혀지고 싶은 부분에만 발라주고 베이스는 마무리 합니다 
기초를 촉촉하게 하면 더 광이 올라올 거 같아요 근데 저는 너무 심한 광은 안좋아해서 파우더로 살짝 두드려 줍니다 
피부표현도 너무 예쁘지만 리필도 없이 가격이 조금 비싸네요"
318,byulbi****,,5,2021.11.09,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,건성피부인데 완전 촉촉하고 짱 좋아요! 제일 먼저 따지는게 촉촉한건데 바르고 시간이 지나도 당김없이 촉촉해서 좋아요~ 거기다 커버력도 좋아서 요즘 쪼끔씩 보이는 주근깨는 싹 가려지네요~ 완전 인생템이에요~
319,sjsj****,,5,2021.11.05,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,우선 이렇게 이쁜 쿠션은 처음봐요! 투명한 케이스 안에 담겨서 꺼낼때마다 기분좋은 디자인이에요~ 전 하얀 편은 아니어서 1.5맑음 으로 구매했는데 누런 저의 톤을 살짝 톤업시키며 자연스러운게 그냥 꿀피부뽀송이로 만들어줍니다 넘넘맘에들어요!! 비건쿠션은 첨인데 향도 좋고 쓸때마다 만족감이 계속 오르네요~ 쿠션유목민이었는데 이제 여기에 정착하려해요 그정도로 딱 어려보이지만 과하지않는 적당한 쿠션이에요! 지속력도 괜찮구요!
320,frozenfi****,,5,2021.11.04,다소 아쉬워요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"기존 사용 쿠션 : 에스쁘아 비글로우 올뉴
나름 만족하며 쓰고 있었지만 피부 컨디션을 너무 타고 잘 뜸...  그래도 리필을 사야하나 다른 걸 봐야 하나 하다가 어뮤즈 신제품 등장. 바로 지름.. 
제형이나 촉촉함은 진짜 맘에 드는데 생각 외로 핑크베이스가;; ㅠ 그래서 1.5로 다시 사봐야 겠음....
건성분 강추! 아.. 향도 호불호가 있겠지만 제형이 너무 나랑 찰떡이라 패스 ^_^"
321,a00****,,5,2021.11.03,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"일단 투명패키지가 너무 이쁘고 컨셉대로 잘 나온것같아요.
요새 코로나라서 화장을 아예 안했더니 피부가 심각하고 ㅠ 또 화장을 하자니 너무 무겁고 그러면 제대로 해야하는데
이건 가볍게 올라가고 쌩얼인 것 같은 느낌이에요. 그래서 코로나 시기에 꾸민듯 안꾸민듯 바르기가 너무 좋아요! 물론 여드름 같은건 가려지지 않지만 코 옆에 붉은기가 가려지고 모공 넓은게 안보이는 것만으로도 만족입니다!"
322,wldnjs****,,2,2021.11.01,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"♥️장점: 촉촉하다 
색감이 예쁘다 
발림성이 좋다
패키징이 예쁘다
성분은 좋아보임
💜단점:너무 무겁고 크다 
**리필도 없는데 가격이 너무비싸다~>2개가격에 그냥 리필든 헤라블랙쿠션사세여
커버력=0%->톤업쿠션이라고 부르는게 나을뻔할 정도
지속력 별로다

어뮤즈^0^비건하나만 믿고사기에는 가성비가 너무해요ㅠㅠ
틴트도 그렇고 쿠션도 그렇고 이 가격이면 저라면 그냥 백화점 브랜드를 사겠네요제품력은 여느 로드샵이랑 차이가 하나도 없어여..2021 최악의 소비라고 할 정도에요 처음 접해보는 브랜드고 가격이 비싸길래 가격값하겠지 라고 생각했는데 웬걸? 기대를 해서 그런가 백화점제품에 비하면 현저히 질이 떨어지고 그냥 저냥 쓸만한 정도에요..그러니까 여러분은 사지마세요ㅋㅋㅋㅋㅎ"
323,wlsrud****,,4,2021.11.01,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"일단 패키지가 음 이뻐요, 이쁜데 아니 이쁜데! 너무 커요ㅠㅠㅋㅋㅋ 파우치에서 꺼내면 크기로나마 디자인으로나마 주목받을 패키지인 것 확실하네요!

마스크 시국이 되면서 마스크에 묻어나는게 싫어서 베이스는 무조건 매트하게 보송하게만 해왔었는데 이번에 갑자기 너무 추워지면서 피부가 갑자기 건조해지더라구요. 요즘엔 마스크에 묻어나더라도 촉촉하게 피부표현 하시는 분들도 많더라구요. 그래서 사용해봤는데 요즘엔 촉촉이도 밀착력이 워낙 좋게 나오니깐 묻어남이 그렇게 심하진 않더라구요! 신기했어요! 아직 한두번 밖에 안써봐서... 일단 첫인상은 낟밷이에요!

제형이 매쉬망을 걸러서 나오니깐 아주 고르게 나오고 파데 자체로 나오다보니 촉촉해요. 따로 브러쉬 사용하면 더 촉촉하게 쓰기 좋아요. 한동안 베이스 안사다가 진짜 오랜만에 한번 충동적으로 구매해봤는데 만족합니다!"
324,nmh****,,5,2021.11.01,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,쿠션이 요즘 맘에 드는게 없어서 이것저것 찾아보다가 구매했어요. 건성이어서 요즘 얼굴이 건조해서 엄청 땡겼거든여. 요건 촉촉하고 지속력도 오래 가더라구여. 마스크를 써도 눈아래쪽은 보여서 쿠션을 안할수가 없는데 좋아요 . 촉촉한게 좋고 발림성도 좋음! 얼굴색도 너무 잘 맞아서 잘 구매했다 싶었어요. 전 사계절 다 써도 좋을거 같더라구여ㅡ 엄마껏도 주문해야겠어요!
325,dy****,,5,2021.11.01,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"어뮤즈 비건쿠션 1호는 컬러는 
살짝 핑크빛이 돌아요!
수분감이 많아 발림성이 좋은 편이고,
얇게 피부에 올라가는 제형이지만
기초를 너무 두껍게 하면
살짝 때처럼 밀리는 경향이 있어
기초케어를 잘 흡수시켜 준후에 발라주는걸 추천!
어뮤즈 비건쿠션은 시간이 갈수록
얼굴에 착붙되는 포뮬러라서
시간이 지나면 더 피부에 밀착되긴 하지만
아무래도 촉촉한 쿠션이기 때문에
묻어남은 조금 있는 편이에요~
커버력은 중 하 정도?
저는 개인적으로  톤업쿠션이랑 비슷한 사용감으로 느껴졌어요~"
326,basi****,,5,2021.10.31,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"피부가 어두운 편이고 가볍게 발라지고 화사한 톤을
찾다가 샀는데 딱 맘에 들어요
건조한 편이고 평소에 화장을 잘 안하는데 최근에
화장을 해야 할 일이 자주 생기다보니 평소 쓰던 쿠션이
똑 떨어져서 새로운거 샀는데 기존에 쓰던거보다
잘 맞아요
저자극에 비건성분이고 케이스도 심플하고
자주 쓰는 색 틴트라 만족스러워요"
327,shal****,,5,2021.10.31,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"쿠션이 똑 떨어져서 썬크림만 자르다가 주문했는데
바로 빠르게 배송왔어요
피부가 건조한 편인데 바르고 당기거나 불편하지
않고 촉촉해요
얇게 발라졌는데 화사해서 더 맘에 들어요
케이스도 너무 예쁘고 틴트도 작은 가방에
넣고 다니기 좋아서 매일 쓸거같아요"
328,kjskj****,,5,2021.10.31,아주 만족해요,지속이 오래돼요,보통이에요,복합성에 좋아요,"마스크에 뭍는거 싫어서 베이스화장 안한지 거의 1년 다되갑는디, 이건진짜 1도 안뭍어요
남편도 마스크에 아무것도 안뭍어서 팩트한지 몰랐대요
자연스럽게 피부톤 고르게 해주고
노란끼 가득한 피부인ㄷㅔ  자연스럽게 커버해주고
생기있기 해줍니다 
진즉 이런거 알았으면 화장하고 다녔을꺼예요
대왕추천"
329,zzap****,,5,2021.10.30,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"민감건성 피부이고 워낙 촉촉하고
글로우한 제품 좋아하는데 은근 찾기
어려웠거덩여 백화점부터 다 사용해 본 제가
윤기 하나는 이제품이 끝내준다구 말씀드리고
싶어요-! 이거 너무 조아요

맑고 얇게 발색되는데 속부터 차오르는 윤기..
그저 대박입니다 재구매 하려고요"
330,stay****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,핑크베이스에 2호라서 좀 칙칙할까 걱정했는데 생각보다 어둡지 않아요~ 너무너무 자연스러운 피부톤이 되네요 생얼인척 하기 좋을듯 해요~ 촉촉하면서 피부톤 잘잡아주고 뭍어남 없으면서 광이 돌아요~ 케이스도 너무 고급스럽고 튼튼하네용ㅋㅋ 완전 맘에 드네요~ 같이 보내주신 틴트도 너무 귀엽네용 ㅎㅎ 복숭아로 받았는데 랜덤인가봐요~ 자연스러운 색이예요~ 감사합니당
331,190****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"역시 올리브영 인기 제품이라 그런지 더욱 좋네요.
자외선으로부터 피부 보호와 함께 미백 효과도 있어서 더욱 좋아요. 요즘 주름 때문에 걱정도 많은데 주름개선에도 도움을 준다고 하니 1석 3조네요^^
거기다 용량도 넉넉하니 마음에 들어요. 흡수력은 정말 최곱니다. 바로 흡수되고, 마스크에도 뭍어나지 않아서 더욱 좋아요.
촉촉하니 지속력까지 우수해요! 건조한 요즘 딱 맞는 쿠션인 것 같아요. 어뮤즈 듀 젤리 비건 쿠션으로 정착할 생각이예요^^"
332,styli****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,처음으로 써봤는데 제가 지금 피부가 완전 관리가 안된상태라 좀 떠보일수있는데 제품은 너무 좋아요 ㅋㅋ 엄청 촉촉하고 커버도 적당히 잘되고 그리고 마스크에 안묻어나서 진짜 너무 좋아요^^ 촉촉한데 머리카락이 막 붙지 않아서 좋아요 ㅋㅋ 지속성도 너무 좋구요^^ 발림도 엄청 자연스럽게 발려요ㅋ 디자인도 너무 고급스럽게 예뻐요^^ 사은품으로 온 틴트도 너무 예쁘고 반짝반짝 발려서 좋아요 ^^ 저렴하게 잘샀어용 ㅋㅋ
333,sdi****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,엄청 촉촉하면서 피부 커버도 잘되니까 너무 만족스러운것 같아요! 팩트 패키지도 예쁘고 같이 온 슬기 카드와 틴트샘플 구성도 만족스럽네용! 팩트 금방쓰는편이라 또 다 쓰면 바로 재구매 하고싶을정도로 너무 만족스러운 팩트라 추천 드리고 싶네요~!
334,acar****,,4,2021.10.29,아주 만족해요,보통이에요,아주 촉촉해요,복합성에 좋아요,"어뮤즈 틴트써보고 맘에들어서 
이번에 쿠션도 사봤는데
촉촉하고 밀림없이 잘발려서 좋아요
커버는 어느정도 잘되지만 화장한지 6시간지나니
잡티가 워낙있어서 조금씩 보이기 시작하네요
그래도 다른 쿠션들에비해 덧발랐을때 뭉침없고
다시 산뜻하게 발리는 편이예요
케이스 너무 예쁘고 맘에들어서
다쓰면 재구매 해보려구요ㅎ
색상도 제 피부에 잘 맞고 잘쓰고있어요ㅎ"
335,as1****,,5,2021.10.29,보통이에요,보통이에요,아주 촉촉해요,복합성에 좋아요,우와...생각보다 퓨어하긴한데 자연스레 커버잘되구 무엇보다 되게 촉촉하니 좋아요 마스크쓰는데 묻어남도 심하지않고!! 저는 만족합니다 신상이라 살짝 고민하긴했는데 너무 좋아요~ 증정으로온 틴트 복숭아컬러인데 컬러는 제가 맞지않아 언니에게 넘겼지만 촉촉함은 엄지척입니다!! 그라로 쓰기 좋은 틴트인것같아요 ㅎ 쿠션은 넘넘 만족해요
336,swa****,,4,2022.01.04,아주 만족해요,보통이에요,보통이에요,건성에 좋아요,촉촉해요 근데 양 조절을 어떻게 해야 할지 잘 모르겠어요ㅠㅠ
337,greenf****,,5,2022.01.01,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"1. 커버력이 필요없다
2. 얇게 발리는게 짱이다
3. 모공커버 잘되었음 좋겠다
4. 색상 이뻣음 좋겠다
5. 촉촉했음 좋겠다

이5가지 조건에 딱 맞는 쿠션입니다!
사용 후에도 피부 답답함이 덜하고 의외로 덜 묻어납니다."
338,라릴랄라,,5,2021.12.31,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,건성이라서 아무래도 겨울엔 촉촉한게 좋아서 사봤는데 진짜 너무 만족해요!대신 커버력이 없어서커버력 중요시하는분에겐 비추입니당! 전 촉촉하고 얼굴 밝혀주기만하몬돼서 만족하며 쓰구있어용
339,kyy98****,,5,2021.12.29,다소 아쉬워요,예상보다 짧아요,보통이에요,복합성에 좋아요,"피부가 좋은편. 홍조 울긋불긋 고민. 가볍게 바르기 좋음
같은 타입경우 사세용 순해용"
340,ch****,,5,2021.12.26,아주 만족해요,보통이에요,보통이에요,복합성에 좋아요,"제품은 적당히 촉촉하고 지속력도 나쁘지않아서 좋았어요.
그런데 배송을 오늘드림으로 시켰는데 소비자에게는 배송완료 문자 전송후 실제 물건은 다음날 오는 사고가.. 중갸 배송과정을 확인하는 거도 일이 매끄럽게 처리되지 않아 앞으로 오늘드림은 고려해볼 생각입니다."
341,leebo****,,3,2021.12.21,보통이에요,예상보다 짧아요,아주 촉촉해요,건성에 좋아요,겨울이라 촉촉한 쿠션 구매해봤어요 커버는 정말 기대하시면 안될 것 같아요 홍조도 잘 안가려지네요…. 정말 얇게 발려서 자연스런 느낌이에요
342,yeoun****,,5,2021.12.20,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,저는 지성이지만 아주 얇고맑게 발린다해서 궁금하던차에 선물받아서 쓰게됏어요! 진짜너어무 촉촉해서 스킨케어같은 느낌이구 지성이라 안맞을거 각오하고썻는데 생각보다 되게 만족햇어요! 물론 커버력은 정말없지민 특유의 맑고 얇은 느낌이 매력있네용
343,유니맘,,5,2021.12.20,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"샤 녤 저렴이라고 해서 사봐머요. 잘 쓸게요. 감솽삽ㄴ다, 땡큐,"
344,kasijj****,,5,2021.12.17,아주 만족해요,보통이에요,보통이에요,복합성에 좋아요,촉촉함이 오래가는 편은 아니구요 막 발랐을 때 광이 아주 예뻐요 1.5호도 아주 밝진 않지만 피부가 예뻐보이게 하네요
345,tear****,,1,2021.12.16,아주 만족해요,예상보다 짧아요,아주 촉촉해요,건성에 좋아요,"리뷰 왠간해선 안쓰는 사람입니다.
쿠션류는 절대 않쓰는 사람입니다.
리퀴드로 아침 화장하고 수정할려고 몇개 쿠션을 샀지만 번번히 실패...
모공끼고 오히려 더 더러워 보여서 쿠션을 않썼는데 이제품은 얇게 깔려서 모공에 끼여있던걸 오히려 매꿔주더라구요 얇게 먹어서 오히려 저는 좋았구요 광이 나니 피부 엄청 좋아보이더라구요. 이 쿠션 단종시키지마세요 처음으로 쿠션 맘에 드네요
홍조 커버는 완벽하진 않지만 이정도만해도 전 만족 대만족..."
346,qkqhe****,,4,2021.12.13,보통이에요,보통이에요,아주 촉촉해요,복합성에 좋아요,커버는 기대하지않아서 딱 제가 생각했던만큼 커버되네용..ㅋㅋ일단 올렸을때 촉촉한게 기분이좋아요 평소에 화장을 진하게하지 않는편이라 데일리로 가볍게쓰기에 좋은제품인거같네용 날이쌀쌀해서 마니건조한데 보습감도있는거같아서 지금사용하기 좋은거같아용
347,mws****,,5,2021.12.09,아주 만족해요,지속이 오래돼요,보통이에요,복합성에 좋아요,"어뮤즈 쿠션 원래 쓰니까 좋은건 말안해도 알고있지만 
진짜 헐인건ㅋㅋㅋ

리필없을줄은ㅋㅋㅋ
그냥 본품만 잇엇군요 
그냥 어지간 하면 어뮤즈 사이트에서 구매하려구요
2일정도면 오는데 그정도기다리구 리필까지 있는걸로 사야겟어요 
쿠션은 두말하면 입아파요ㅎㅎ"
348,79jine,,5,2021.12.09,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,촉촉 가벼움 수분감 가벼운 팩트네요 비건이라 더 맑은듯한 내구 구성도 좋아요
349,happyda****,,3,2021.12.04,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,원래는 제일 밝은 색을 사고 싶었는데 품절이라 리뷰봤는데 누드도 어두운 컬러가 아니라고 해서 샀는데 진짜 내 피부색이랑 제일 자연스럽게 잘 맞았다 엄청 촉촉한 대신 진짜 커버력은 없다 여드름 자국이 있고 붉은기가 많은데 커버 되진 않는다 그렇다고 마스크에 묻어남이 적진 않았다 그래도 다른 쿠션보다는 지저분하게 묻어나오진 않지만 얇게 바른거 치고는 많이 묻었다 대신 마스크 자국이 남지는 않았다 진짜 피부가 좋은 분들께는 좋을것같다
350,mous****,,2,2021.12.03,보통이에요,보통이에요,보통이에요,복합성에 좋아요,"그저 홍보를 엄청 돌렸고 유투버들이 좋은 점만 말했다는 걸 알게 해주는 제품. 평소에도 톤업크림이나 선크림만 발라도 나쁘지 않은 피부라 커버력 없고 피부톤과 결 보정 약간만 기대했는데 모공 끼임 심하네요. 또 사진도 있어 보이게 찍어서 그렇지 실제로 쿠션 받아보면 투명 플라스틱에 약간 덜컥거림, 큰 사이즈… 솔직히 좀 싼티나요. 가격은 딱 반값이면 어울리네요. 타사 제품 살걸 돈 더 주고 산 게 아까워요."
351,nal****,,2,2021.12.02,다소 아쉬워요,보통이에요,보통이에요,건성에 좋아요,"내가 예쁜 쓰레기를 샀다니..! ㅎㅎ
장난이고요 

케이스가 예뻐서 구매해봤어요 (호기심)

톤업크림정도만 바르시는 분이 구매하면 좋겠어요 
커버력 아예 없구요~"
352,younj****,,3,2021.11.25,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"커버력이 없다는건 알고 있었지만…이정도일줄은ㅋㅋㅋ잡티나 기미같은건 안가려지고 정말 톤만 살짝 밝아져요.
장점은 가볍게 올라간다는거? 화장한 느낌이 안들고 피부가 편안해서 이건 좋은 것 같아요. 
토너로 얼굴만 닦고 그 위에 바로 발라서 그런지 그렇게 촉촉한지는 잘모르겠어요. 그래도 확실히 다른 쿠션들보다는 수분감이 있는 편이라 건성 수정용으론 적합할 것 같습니다.
케이스 색상이 핑크였으면 더 좋았을텐데 갠적으로 아쉽…ㅠㅠ"
